G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
5, 2019-11-01, 26-178,ORL,, MIL, L (-32), 0, 5:36,2,2, 1.000, 0,0,,0,0,, 1,0,1,2, 0, 0,1,0, 4
9, 2019-11-08, 26-185,ORL,, MEM, W (+32), 0, 3:07,1,1, 1.000, 0,0,,0,0,, 1,1,2,0, 0, 0,0,0, 2
16, 2019-11-25, 26-202,ORL,@, DET, L (-15), 0, 0:15,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
21, 2019-12-04, 26-211,ORL,, PHO, W (+14), 0, 2:35,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 0,0,2, 0
23, 2019-12-09, 26-216,ORL,@, MIL, L (-9), 0, 1:12,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
25, 2019-12-13, 26-220,ORL,, HOU, L (-23), 0, 4:16,0,1, .000, 0,0,,0,2,.000, 1,0,1,0, 0, 0,0,1, 0
29, 2019-12-20, 26-227,ORL,@, POR, L (-15), 0, 2:09,0,0, , 0,0,,0,0,, 0,2,2,0, 0, 0,1,0, 0
32, 2019-12-28, 26-235,ORL,@, MIL, L (-11), 0, 1:48,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
33, 2019-12-30, 26-237,ORL,, ATL, L (-8), 0, 6:20,0,1, .000, 0,0,,0,0,, 0,0,0,0, 0, 1,0,1, 0
34, 2020-01-01, 26-239,ORL,@, WAS, W (+21), 0, 13:04,0,1, .000, 0,0,,2,4,.500, 2,4,6,2, 0, 1,0,0, 2
36, 2020-01-04, 26-242,ORL,, UTA, L (-13), 0, 0:44,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
38, 2020-01-08, 26-246,ORL,, WAS, W (+34), 0, 5:35,0,2, .000, 0,0,,0,0,, 1,1,2,0, 0, 0,1,1, 0
39, 2020-01-10, 26-248,ORL,@, PHO, L (-4), 0, 16:23,0,1, .000, 0,0,,2,2,1.000, 2,3,5,0, 0, 1,0,1, 2
42, 2020-01-16, 26-254,ORL,@, LAC, L (-27), 0, 4:32,1,2, .500, 0,0,,0,4,.000, 0,1,1,0, 0, 0,0,0, 2
44, 2020-01-20, 26-258,ORL,@, CHO, W (+23), 0, 2:15,1,2, .500, 0,0,,0,0,, 0,0,0,0, 0, 0,0,1, 2
47, 2020-01-26, 26-264,ORL,, LAC, L (-15), 0, 1:10,0,0, , 0,0,,1,2,.500, 1,0,1,0, 0, 0,0,0, 1
48, 2020-01-27, 26-265,ORL,@, MIA, L (-21), 0, 2:31,0,0, , 0,0,,0,0,, 0,0,0,0, 1, 0,0,0, 0
51, 2020-02-05, 26-274,ORL,@, BOS, L (-16), 0, 0:46,0,1, .000, 0,0,,0,0,, 1,0,1,0, 0, 0,0,0, 0
