G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
12, 2019-11-17, 22-317,CLE,, PHI, L (-19), 0, 16:38,3,6, .500, 0,0,,0,0,, 1,1,2,0, 0, 1,0,1, 6
13, 2019-11-18, 22-318,CLE,@, NYK, L (-18), 0, 20:24,2,4, .500, 0,0,,1,2,.500, 1,5,6,0, 0, 0,0,3, 5
14, 2019-11-20, 22-320,CLE,@, MIA, L (-24), 0, 14:47,2,3, .667, 0,0,,2,2,1.000, 2,1,3,0, 0, 0,1,3, 6
15, 2019-11-22, 22-322,CLE,@, DAL, L (-42), 0, 12:00,3,5, .600, 0,0,,1,1,1.000, 1,2,3,0, 1, 0,0,1, 7
19, 2019-11-29, 22-329,CLE,, MIL, L (-9), 0, 2:47,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 0,0,0, 0
20, 2019-12-03, 22-333,CLE,, DET, L (-33), 0, 3:49,1,3, .333, 0,0,,0,0,, 1,1,2,0, 0, 0,0,0, 2
22, 2019-12-07, 22-337,CLE,@, PHI, L (-47), 0, 12:00,2,3, .667, 0,0,,1,1,1.000, 1,3,4,0, 1, 0,0,1, 5
23, 2019-12-09, 22-339,CLE,@, BOS, L (-22), 0, 2:33,0,2, .000, 0,0,,0,0,, 0,0,0,0, 0, 1,0,0, 0
26, 2019-12-14, 22-344,CLE,@, MIL, L (-17), 0, 5:38,3,3, 1.000, 0,0,,0,0,, 0,2,2,0, 0, 0,0,1, 6
31, 2019-12-27, 22-357,CLE,@, BOS, L (-12), 0, 4:55,2,2, 1.000, 0,0,,4,4,1.000, 0,2,2,0, 0, 1,0,1, 8
33, 2019-12-31, 22-361,CLE,@, TOR, L (-20), 0, 2:47,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
35, 2020-01-04, 23-000,CLE,, OKC, L (-15), 0, 3:09,0,2, .000, 0,0,,0,0,, 1,1,2,0, 1, 0,0,1, 0
36, 2020-01-05, 23-001,CLE,, MIN, L (-15), 0, 24:35,6,7, .857, 0,0,,3,4,.750, 4,8,12,2, 1, 0,3,2, 15
37, 2020-01-07, 23-003,CLE,, DET, L (-2), 0, 16:16,2,3, .667, 0,0,,1,1,1.000, 1,8,9,0, 1, 1,1,1, 5
38, 2020-01-09, 23-005,CLE,@, DET, W (+3), 0, 7:21,1,3, .333, 0,0,,0,0,, 0,1,1,1, 1, 0,0,2, 2
39, 2020-01-11, 23-007,CLE,@, DEN, W (+8), 0, 9:33,1,3, .333, 0,0,,0,0,, 1,5,6,0, 0, 0,0,3, 2
56, 2020-02-22, 23-049,CLE,@, MIA, L (-19), 0, 8:35,3,3, 1.000, 0,0,,1,1,1.000, 0,0,0,0, 1, 0,2,0, 7
58, 2020-02-26, 23-053,CLE,, PHI, W (+14), 0, 7:12,3,4, .750, 0,0,,0,0,, 0,2,2,1, 0, 1,2,2, 6
59, 2020-02-28, 23-055,CLE,@, NOP, L (-12), 0, 9:57,2,3, .667, 0,0,,0,0,, 0,3,3,2, 0, 0,1,1, 4
61, 2020-03-02, 23-058,CLE,, UTA, L (-13), 0, 17:18,3,7, .429, 0,0,,0,2,.000, 1,1,2,0, 0, 0,0,2, 6
62, 2020-03-04, 23-060,CLE,, BOS, L (-6), 0, 14:12,2,5, .400, 0,0,,0,1,.000, 3,1,4,0, 0, 0,0,2, 4
63, 2020-03-07, 23-063,CLE,, DEN, W (+2), 0, 4:10,0,1, .000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
