G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
7, 2019-11-06, 22-277,ATL,, CHI, L (-20), 0, 3:36,0,0, , 0,0,,2,2,1.000, 0,1,1,0, 0, 0,0,0, 2
11, 2019-11-14, 22-285,ATL,@, PHO, L (-16), 0, 6:23,1,2, .500, 1,1,1.000,0,0,, 1,0,1,0, 0, 0,0,0, 3
12, 2019-11-16, 22-287,ATL,@, LAC, L (-49), 0, 4:33,0,1, .000, 0,0,,0,0,, 1,0,1,0, 0, 1,0,0, 0
13, 2019-11-17, 22-288,ATL,@, LAL, L (-21), 0, 1:46,0,0, , 0,0,,2,2,1.000, 0,0,0,0, 0, 0,0,0, 2
40, 2020-01-12, 22-344,ATL,@, BRK, L (-22), 0, 11:04,2,7, .286, 1,3,.333,1,1,1.000, 0,1,1,1, 0, 1,0,0, 6
46, 2020-01-24, 22-356,ATL,@, OKC, L (-29), 0, 3:09,1,2, .500, 1,2,.500,0,0,, 0,0,0,1, 0, 0,1,2, 3
47, 2020-01-26, 22-358,ATL,, WAS, W (+19), 0, 2:01,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
48, 2020-01-28, 22-360,ATL,@, TOR, L (-16), 0, 4:15,1,5, .200, 0,2,.000,0,0,, 0,0,0,0, 2, 0,1,0, 2
50, 2020-02-01, 22-364,ATL,@, DAL, L (-23), 0, 3:18,1,2, .500, 0,1,.000,0,0,, 0,0,0,0, 0, 0,1,1, 2
53, 2020-02-07, 23-005,ATL,@, BOS, L (-5), 0, 0:21,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
