G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 31-019,DET,@, IND, W (+9), 0, 26:35,6,11, .545, 0,0,,6,7,.857, 1,2,3,9, 0, 0,4,1, 18
2, 2019-10-24, 31-020,DET,, ATL, L (-17), 0, 25:16,11,16, .688, 0,1,.000,5,5,1.000, 0,1,1,3, 0, 0,3,1, 27
3, 2019-10-26, 31-022,DET,, PHI, L (-6), 0, 26:44,14,21, .667, 1,1,1.000,2,2,1.000, 0,3,3,3, 3, 2,6,2, 31
4, 2019-10-28, 31-024,DET,, IND, W (+2), 0, 26:04,4,16, .250, 0,0,,2,2,1.000, 1,0,1,6, 0, 0,4,2, 10
5, 2019-10-30, 31-026,DET,@, TOR, L (-12), 0, 20:32,7,12, .583, 0,2,.000,2,2,1.000, 0,0,0,10, 0, 0,2,0, 16
6, 2019-11-01, 31-028,DET,@, CHI, L (-6), 0, 24:40,8,13, .615, 0,0,,7,9,.778, 0,1,1,7, 3, 1,4,2, 23
11, 2019-11-11, 31-038,DET,, MIN, L (-6), 1, 19:54,3,13, .231, 0,2,.000,0,0,, 1,2,3,5, 2, 1,0,0, 6
13, 2019-11-15, 31-042,DET,@, CHO, L (-3), 0, 26:02,6,7, .857, 2,2,1.000,2,2,1.000, 0,2,2,3, 0, 0,6,2, 16
14, 2019-11-20, 31-047,DET,@, CHI, L (-20), 0, 24:26,5,11, .455, 0,2,.000,8,9,.889, 1,2,3,2, 1, 0,3,2, 18
15, 2019-11-22, 31-049,DET,, ATL, W (+25), 0, 17:38,4,6, .667, 3,4,.750,0,0,, 0,1,1,2, 1, 1,1,0, 11
16, 2019-11-23, 31-050,DET,@, MIL, L (-14), 0, 26:11,8,17, .471, 2,5,.400,2,2,1.000, 0,3,3,6, 1, 0,3,1, 20
17, 2019-11-25, 31-052,DET,, ORL, W (+15), 0, 20:00,1,11, .091, 0,4,.000,0,0,, 1,1,2,6, 0, 1,1,3, 2
18, 2019-11-27, 31-054,DET,@, CHO, L (-1), 0, 25:15,6,15, .400, 1,4,.250,0,0,, 1,0,1,8, 0, 0,1,1, 13
19, 2019-11-29, 31-056,DET,, CHO, L (-3), 0, 21:52,8,12, .667, 3,4,.750,4,6,.667, 0,2,2,4, 0, 0,1,1, 23
20, 2019-12-01, 31-058,DET,, SAS, W (+34), 0, 18:53,3,8, .375, 1,3,.333,3,3,1.000, 0,0,0,10, 2, 1,3,0, 10
21, 2019-12-03, 31-060,DET,@, CLE, W (+33), 0, 21:45,6,12, .500, 0,2,.000,0,1,.000, 0,2,2,9, 0, 0,0,2, 12
22, 2019-12-04, 31-061,DET,, MIL, L (-24), 0, 25:19,6,15, .400, 0,3,.000,2,2,1.000, 0,2,2,5, 1, 0,1,0, 14
23, 2019-12-06, 31-063,DET,, IND, W (+7), 0, 25:43,7,17, .412, 0,1,.000,0,0,, 2,4,6,5, 1, 0,2,0, 14
24, 2019-12-09, 31-066,DET,@, NOP, W (+2), 0, 28:22,9,17, .529, 1,3,.333,2,2,1.000, 1,1,2,7, 0, 0,2,1, 21
25, 2019-12-12, 31-069,DET,, DAL, L (-11), 0, 25:46,7,16, .438, 5,10,.500,0,0,, 0,0,0,4, 2, 0,3,0, 19
26, 2019-12-14, 31-071,DET,@, HOU, W (+8), 0, 26:57,10,21, .476, 0,4,.000,0,0,, 2,2,4,12, 0, 0,2,2, 20
27, 2019-12-16, 31-073,DET,, WAS, L (-14), 0, 28:33,8,17, .471, 2,5,.400,4,4,1.000, 2,4,6,8, 1, 0,3,1, 22
28, 2019-12-18, 31-075,DET,, TOR, L (-13), 0, 28:22,8,17, .471, 0,4,.000,0,1,.000, 0,4,4,5, 0, 1,1,0, 16
29, 2019-12-20, 31-077,DET,@, BOS, L (-21), 0, 23:34,6,12, .500, 0,1,.000,2,2,1.000, 0,0,0,4, 0, 0,3,0, 14
31, 2019-12-23, 31-080,DET,, PHI, L (-16), 0, 25:17,7,14, .500, 0,4,.000,2,2,1.000, 0,3,3,7, 2, 1,2,0, 16
32, 2019-12-26, 31-083,DET,, WAS, W (+30), 0, 21:05,6,11, .545, 3,6,.500,0,0,, 2,0,2,6, 1, 0,2,1, 15
33, 2019-12-28, 31-085,DET,@, SAS, L (-27), 0, 27:19,10,17, .588, 2,4,.500,2,2,1.000, 0,3,3,4, 4, 0,4,0, 24
34, 2019-12-30, 31-087,DET,@, UTA, L (-23), 0, 26:16,8,17, .471, 1,2,.500,3,6,.500, 0,0,0,4, 1, 1,2,1, 20
35, 2020-01-02, 31-090,DET,@, LAC, L (-14), 0, 27:00,5,15, .333, 0,2,.000,4,4,1.000, 0,2,2,6, 0, 0,1,1, 14
36, 2020-01-04, 31-092,DET,@, GSW, W (+7), 0, 28:13,10,16, .625, 1,4,.250,1,1,1.000, 0,2,2,2, 1, 0,4,1, 22
37, 2020-01-05, 31-093,DET,@, LAL, L (-7), 0, 28:53,8,19, .421, 2,3,.667,10,10,1.000, 1,2,3,5, 1, 1,2,3, 28
38, 2020-01-07, 31-095,DET,@, CLE, W (+2), 0, 30:32,9,21, .429, 2,5,.400,4,4,1.000, 0,3,3,7, 1, 0,4,2, 24
39, 2020-01-09, 31-097,DET,, CLE, L (-3), 0, 35:42,13,24, .542, 0,2,.000,1,1,1.000, 4,3,7,5, 0, 0,6,3, 27
40, 2020-01-11, 31-099,DET,, CHI, L (-9), 0, 29:00,7,11, .636, 2,3,.667,4,4,1.000, 0,2,2,7, 0, 0,4,1, 20
41, 2020-01-13, 31-101,DET,, NOP, L (-7), 0, 36:31,10,23, .435, 0,3,.000,3,4,.750, 0,4,4,8, 0, 1,3,1, 23
42, 2020-01-15, 31-103,DET,@, BOS, W (+13), 1, 28:44,11,13, .846, 0,2,.000,0,0,, 0,2,2,6, 0, 1,3,0, 22
43, 2020-01-18, 31-106,DET,@, ATL, W (+33), 1, 26:19,12,17, .706, 1,3,.333,2,2,1.000, 0,2,2,9, 1, 0,1,1, 27
44, 2020-01-20, 31-108,DET,@, WAS, L (-6), 1, 34:17,8,21, .381, 1,5,.200,4,6,.667, 0,4,4,2, 2, 0,2,1, 21
45, 2020-01-22, 31-110,DET,, SAC, W (+21), 1, 30:07,8,17, .471, 0,1,.000,6,7,.857, 0,6,6,11, 0, 0,1,4, 22
46, 2020-01-24, 31-112,DET,, MEM, L (-13), 1, 33:10,10,21, .476, 0,2,.000,2,3,.667, 2,1,3,8, 1, 0,3,1, 22
47, 2020-01-25, 31-113,DET,, BRK, L (-10), 1, 36:59,10,22, .455, 2,4,.500,5,5,1.000, 1,3,4,6, 2, 0,1,1, 27
49, 2020-01-29, 31-117,DET,@, BRK, L (-10), 1, 30:47,9,15, .600, 1,2,.500,3,3,1.000, 0,6,6,5, 0, 0,2,0, 22
50, 2020-01-31, 31-119,DET,, TOR, L (-13), 1, 29:50,9,16, .563, 2,5,.400,1,1,1.000, 0,0,0,3, 0, 0,1,0, 21
51, 2020-02-02, 31-121,DET,, DEN, W (+5), 1, 12:52,1,3, .333, 0,1,.000,0,2,.000, 1,0,1,2, 0, 0,1,0, 2
57, 2020-02-12, 31-131,DET,@, ORL, L (-4), 0, 17:02,1,13, .077, 0,4,.000,0,0,, 0,0,0,4, 1, 1,3,0, 2
58, 2020-02-20, 31-139,DET,, MIL, L (-20), 1, 23:07,6,15, .400, 0,3,.000,0,0,, 0,0,0,4, 0, 1,2,0, 12
59, 2020-02-23, 31-142,DET,@, POR, L (-3), 1, 27:40,6,16, .375, 1,4,.250,2,2,1.000, 0,2,2,3, 0, 0,5,0, 15
60, 2020-02-25, 31-144,DET,@, DEN, L (-17), 1, 27:01,6,14, .429, 1,3,.333,7,7,1.000, 1,1,2,5, 2, 0,4,2, 20
61, 2020-02-28, 31-147,DET,@, PHO, W (+2), 1, 30:08,15,24, .625, 1,2,.500,0,0,, 2,1,3,4, 2, 1,3,0, 31
62, 2020-03-01, 31-149,DET,@, SAC, L (-6), 1, 9:23,3,5, .600, 1,1,1.000,2,2,1.000, 0,3,3,2, 0, 0,1,1, 9
