G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
4, 2019-10-28, 24-208,LAC,, CHO, W (+15), 0, 1:12,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
5, 2019-10-30, 24-210,LAC,@, UTA, L (-14), 0, 1:22,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
13, 2019-11-16, 24-227,LAC,, ATL, W (+49), 0, 6:53,1,1, 1.000, 1,1,1.000,0,0,, 0,0,0,1, 0, 0,1,2, 3
20, 2019-11-29, 24-240,LAC,@, SAS, L (-10), 0, 2:48,0,1, .000, 0,1,.000,0,0,, 0,0,0,0, 0, 0,0,0, 0
21, 2019-12-01, 24-242,LAC,, WAS, W (+25), 0, 6:17,1,1, 1.000, 0,0,,0,0,, 0,0,0,1, 0, 0,0,1, 2
22, 2019-12-03, 24-244,LAC,, POR, W (+20), 0, 3:57,0,1, .000, 0,1,.000,0,0,, 0,0,0,1, 0, 0,0,1, 0
23, 2019-12-06, 24-247,LAC,@, MIL, L (-28), 0, 9:47,0,2, .000, 0,1,.000,3,3,1.000, 1,0,1,1, 1, 0,0,0, 3
24, 2019-12-08, 24-249,LAC,@, WAS, W (+16), 0, 12:24,3,4, .750, 1,2,.500,0,0,, 1,0,1,1, 0, 0,0,1, 7
25, 2019-12-09, 24-250,LAC,@, IND, W (+11), 0, 18:56,1,2, .500, 1,2,.500,0,0,, 0,2,2,0, 1, 0,0,1, 3
26, 2019-12-11, 24-252,LAC,@, TOR, W (+20), 0, 4:17,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,1, 0
27, 2019-12-13, 24-254,LAC,@, MIN, W (+7), 0, 30:21,1,1, 1.000, 1,1,1.000,3,4,.750, 0,1,1,3, 1, 0,0,2, 6
28, 2019-12-14, 24-255,LAC,@, CHI, L (-3), 0, 29:48,2,5, .400, 1,3,.333,0,0,, 0,2,2,4, 1, 0,1,2, 5
29, 2019-12-17, 24-258,LAC,, PHO, W (+21), 0, 3:11,0,0, , 0,0,,0,0,, 0,1,1,1, 0, 0,0,0, 0
31, 2019-12-21, 24-262,LAC,@, SAS, W (+25), 0, 6:48,0,1, .000, 0,1,.000,0,0,, 0,0,0,3, 0, 0,0,0, 0
32, 2019-12-22, 24-263,LAC,@, OKC, L (-6), 0, 11:56,2,3, .667, 1,1,1.000,0,0,, 0,2,2,1, 0, 0,1,1, 5
34, 2019-12-28, 24-269,LAC,, UTA, L (-13), 0, 0:48,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
35, 2019-12-31, 24-272,LAC,@, SAC, W (+18), 0, 18:53,4,5, .800, 2,3,.667,0,0,, 0,2,2,1, 0, 0,0,2, 10
36, 2020-01-02, 24-274,LAC,, DET, W (+14), 0, 12:46,1,3, .333, 0,1,.000,0,0,, 0,1,1,0, 0, 0,1,1, 2
37, 2020-01-04, 24-276,LAC,, MEM, L (-26), 1, 22:44,1,4, .250, 1,2,.500,0,0,, 0,1,1,2, 0, 0,0,3, 3
40, 2020-01-12, 24-284,LAC,@, DEN, L (-10), 0, 0:24,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
41, 2020-01-14, 24-286,LAC,, CLE, W (+25), 0, 4:55,0,1, .000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
42, 2020-01-16, 24-288,LAC,, ORL, W (+27), 0, 4:32,0,1, .000, 0,1,.000,0,0,, 0,1,1,1, 0, 0,0,1, 0
45, 2020-01-22, 24-294,LAC,@, ATL, L (-7), 0, 6:53,0,0, , 0,0,,1,2,.500, 0,0,0,1, 0, 0,0,0, 1
53, 2020-02-25, 24-328,DET,@, DEN, L (-17), 0, 6:01,0,1, .000, 0,1,.000,0,0,, 0,0,0,1, 1, 0,0,0, 0
54, 2020-02-28, 24-331,DET,@, PHO, W (+2), 0, 7:03,0,1, .000, 0,1,.000,0,0,, 0,1,1,2, 0, 0,0,0, 0
55, 2020-03-01, 24-333,DET,@, SAC, L (-6), 0, 13:20,1,1, 1.000, 1,1,1.000,0,0,, 0,0,0,2, 2, 0,1,2, 3
