G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 30-072,SAC,@, PHO, L (-29), 1, 14:13,1,3, .333, 0,1,.000,1,1,1.000, 1,5,6,1, 0, 1,2,3, 3
2, 2019-10-25, 30-074,SAC,, POR, L (-10), 1, 20:54,3,9, .333, 0,4,.000,0,0,, 3,5,8,0, 1, 0,4,5, 6
3, 2019-10-26, 30-075,SAC,@, UTA, L (-32), 1, 28:01,3,8, .375, 2,5,.400,3,3,1.000, 2,4,6,0, 0, 1,7,3, 11
4, 2019-10-28, 30-077,SAC,, DEN, L (-7), 1, 16:54,2,6, .333, 0,1,.000,0,0,, 3,0,3,0, 1, 1,1,4, 4
5, 2019-10-30, 30-079,SAC,, CHO, L (-7), 0, 4:13,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 0,0,0, 0
6, 2019-11-01, 30-081,SAC,, UTA, W (+1), 0, 27:15,4,10, .400, 1,6,.167,1,1,1.000, 2,5,7,1, 0, 2,1,5, 10
7, 2019-11-03, 30-083,SAC,@, NYK, W (+21), 0, 14:40,1,3, .333, 0,1,.000,0,0,, 3,5,8,3, 1, 1,2,3, 2
8, 2019-11-06, 30-086,SAC,@, TOR, L (-4), 0, 17:12,2,6, .333, 2,5,.400,0,0,, 2,1,3,0, 0, 0,0,1, 6
9, 2019-11-08, 30-088,SAC,@, ATL, W (+12), 0, 11:03,0,2, .000, 0,1,.000,4,4,1.000, 2,1,3,0, 0, 0,0,1, 4
10, 2019-11-12, 30-092,SAC,, POR, W (+8), 0, 7:28,1,4, .250, 0,0,,0,0,, 2,1,3,0, 0, 1,1,1, 2
11, 2019-11-15, 30-095,SAC,@, LAL, L (-2), 0, 15:14,2,4, .500, 1,2,.500,0,0,, 0,5,5,0, 0, 0,1,1, 5
12, 2019-11-17, 30-097,SAC,, BOS, W (+1), 0, 10:04,3,6, .500, 1,3,.333,0,0,, 0,4,4,0, 0, 1,2,3, 7
13, 2019-11-19, 30-099,SAC,, PHO, W (+4), 0, 12:44,4,7, .571, 0,2,.000,0,0,, 2,1,3,0, 0, 0,2,2, 8
14, 2019-11-22, 30-102,SAC,@, BRK, L (-19), 0, 13:57,1,4, .250, 0,2,.000,0,0,, 0,2,2,1, 2, 0,1,1, 2
15, 2019-11-24, 30-104,SAC,@, WAS, W (+7), 0, 11:35,2,6, .333, 1,4,.250,2,2,1.000, 0,0,0,1, 1, 0,1,3, 7
16, 2019-11-25, 30-105,SAC,@, BOS, L (-1), 0, 11:56,1,1, 1.000, 0,0,,0,0,, 0,4,4,1, 0, 0,1,2, 2
17, 2019-11-27, 30-107,SAC,@, PHI, L (-6), 0, 22:32,8,12, .667, 2,5,.400,0,2,.000, 2,4,6,0, 1, 0,0,5, 18
18, 2019-11-30, 30-110,SAC,, DEN, W (+3), 0, 12:14,1,4, .250, 0,2,.000,0,0,, 0,1,1,0, 1, 0,0,3, 2
19, 2019-12-02, 30-112,SAC,, CHI, L (-7), 0, 11:22,1,2, .500, 0,1,.000,0,0,, 2,5,7,0, 1, 1,3,3, 2
20, 2019-12-04, 30-114,SAC,@, POR, L (-11), 0, 13:33,2,3, .667, 1,2,.500,0,0,, 0,4,4,0, 0, 2,0,2, 5
21, 2019-12-06, 30-116,SAC,@, SAS, L (-1), 0, 8:19,0,3, .000, 0,1,.000,0,0,, 0,1,1,0, 0, 0,2,4, 0
28, 2019-12-20, 30-130,SAC,@, IND, L (-14), 0, 5:01,2,2, 1.000, 0,0,,0,0,, 0,2,2,0, 0, 0,0,0, 4
31, 2019-12-26, 30-136,SAC,, MIN, L (-1), 0, 1:57,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 1,1,0, 0
38, 2020-01-07, 30-148,SAC,@, PHO, W (+11), 0, 31:37,3,7, .429, 1,4,.250,5,6,.833, 2,8,10,1, 0, 0,3,4, 12
39, 2020-01-10, 30-151,SAC,, MIL, L (-21), 0, 11:31,2,6, .333, 0,3,.000,0,0,, 1,2,3,0, 0, 0,1,4, 4
40, 2020-01-13, 30-154,SAC,, ORL, L (-2), 0, 4:20,0,2, .000, 0,1,.000,2,2,1.000, 0,3,3,0, 0, 0,0,1, 2
42, 2020-01-18, 30-159,SAC,@, UTA, L (-22), 0, 12:13,1,5, .200, 0,0,,1,2,.500, 3,3,6,0, 0, 1,0,2, 3
43, 2020-01-20, 30-161,SAC,@, MIA, L (-5), 0, 13:31,2,5, .400, 0,1,.000,2,3,.667, 2,6,8,0, 0, 0,2,3, 6
44, 2020-01-22, 30-163,SAC,@, DET, L (-21), 1, 31:07,6,13, .462, 1,4,.250,0,0,, 4,6,10,2, 0, 0,1,5, 13
45, 2020-01-24, 30-165,SAC,@, CHI, W (+17), 1, 18:44,1,1, 1.000, 0,0,,0,0,, 1,4,5,0, 0, 2,3,5, 2
46, 2020-01-27, 30-168,SAC,@, MIN, W (+4), 1, 15:49,1,4, .250, 0,3,.000,0,0,, 1,3,4,0, 0, 3,0,3, 2
47, 2020-01-29, 30-170,SAC,, OKC, L (-20), 1, 23:28,3,7, .429, 0,1,.000,0,0,, 1,6,7,0, 0, 0,0,4, 6
48, 2020-01-30, 30-171,SAC,@, LAC, W (+21), 1, 30:53,4,8, .500, 1,3,.333,2,2,1.000, 1,10,11,1, 4, 3,1,3, 11
50, 2020-02-03, 30-175,SAC,, MIN, W (+4), 1, 34:56,2,8, .250, 0,3,.000,0,0,, 4,8,12,3, 2, 5,4,4, 4
52, 2020-02-09, 30-181,ATL,, NYK, W (+5), 0, 32:41,4,12, .333, 1,5,.200,1,1,1.000, 0,8,8,0, 0, 5,4,6, 10
53, 2020-02-10, 30-182,ATL,@, ORL, L (-9), 0, 28:00,5,9, .556, 2,4,.500,2,2,1.000, 0,9,9,1, 0, 2,0,2, 14
54, 2020-02-12, 30-184,ATL,@, CLE, L (-22), 1, 17:41,3,5, .600, 1,2,.500,0,0,, 1,3,4,1, 3, 3,1,4, 7
55, 2020-02-20, 30-192,ATL,, MIA, W (+5), 1, 19:42,0,2, .000, 0,2,.000,0,0,, 0,8,8,0, 0, 0,0,5, 0
56, 2020-02-22, 30-194,ATL,, DAL, W (+4), 1, 24:41,4,9, .444, 0,3,.000,0,0,, 1,11,12,2, 0, 2,0,5, 8
