G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-24, 30-362,ATL,@, DET, W (+17), 0, 16:48,4,4, 1.000, 0,0,,1,1,1.000, 0,0,0,4, 1, 0,0,0, 9
2, 2019-10-26, 30-364,ATL,, ORL, W (+4), 0, 10:44,0,2, .000, 0,1,.000,1,2,.500, 0,3,3,1, 0, 0,1,2, 1
3, 2019-10-28, 31-001,ATL,, PHI, L (-2), 0, 6:43,0,1, .000, 0,0,,2,2,1.000, 0,0,0,2, 2, 0,1,0, 2
12, 2019-11-16, 31-020,ATL,@, LAC, L (-49), 0, 15:07,4,7, .571, 0,0,,3,3,1.000, 1,4,5,1, 2, 1,2,4, 11
13, 2019-11-17, 31-021,ATL,@, LAL, L (-21), 0, 15:02,3,5, .600, 0,0,,1,1,1.000, 1,1,2,1, 0, 0,2,2, 7
14, 2019-11-20, 31-024,ATL,, MIL, L (-8), 0, 14:58,3,6, .500, 0,0,,1,1,1.000, 1,1,2,3, 0, 0,0,2, 7
15, 2019-11-22, 31-026,ATL,@, DET, L (-25), 0, 9:06,0,1, .000, 0,0,,0,0,, 0,0,0,1, 0, 0,2,2, 0
16, 2019-11-23, 31-027,ATL,, TOR, L (-3), 0, 12:01,2,6, .333, 0,1,.000,0,0,, 0,3,3,1, 0, 0,1,1, 4
17, 2019-11-25, 31-029,ATL,, MIN, L (-12), 0, 10:48,1,5, .200, 0,0,,1,2,.500, 0,4,4,5, 0, 0,1,0, 3
18, 2019-11-27, 31-031,ATL,@, MIL, L (-9), 0, 14:24,2,7, .286, 0,1,.000,0,0,, 1,4,5,0, 0, 3,3,1, 4
19, 2019-11-29, 31-033,ATL,@, IND, L (-1), 0, 13:11,0,1, .000, 0,0,,0,0,, 0,0,0,0, 1, 1,3,0, 0
20, 2019-11-30, 31-034,ATL,@, HOU, L (-47), 0, 15:35,0,4, .000, 0,1,.000,0,0,, 1,0,1,4, 1, 1,1,1, 0
21, 2019-12-02, 31-036,ATL,, GSW, W (+25), 0, 19:50,3,5, .600, 0,0,,2,2,1.000, 1,0,1,5, 1, 0,0,0, 8
22, 2019-12-04, 31-038,ATL,, BRK, L (-12), 0, 20:47,1,4, .250, 0,0,,0,0,, 1,2,3,4, 0, 2,3,1, 2
25, 2019-12-11, 31-045,ATL,@, CHI, L (-34), 0, 12:40,0,1, .000, 0,1,.000,0,0,, 0,3,3,1, 0, 0,3,0, 0
29, 2019-12-19, 31-053,ATL,, UTA, L (-5), 0, 8:05,1,2, .500, 0,0,,0,0,, 0,1,1,0, 0, 0,0,1, 2
32, 2019-12-27, 31-061,ATL,, MIL, L (-26), 0, 10:23,0,1, .000, 0,0,,0,0,, 0,2,2,2, 0, 0,1,0, 0
33, 2019-12-28, 31-062,ATL,@, CHI, L (-35), 0, 4:16,0,1, .000, 0,0,,0,0,, 0,1,1,1, 0, 0,1,1, 0
51, 2020-02-03, 31-099,ATL,, BOS, L (-8), 0, 21:00,1,4, .250, 0,0,,0,0,, 1,1,2,2, 1, 0,1,2, 2
