G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2, 2019-10-26, 20-098,IND,@, CLE, L (-11), 0, 4:26,1,1, 1.000, 0,0,,0,0,, 0,1,1,0, 0, 0,0,1, 2
4, 2019-10-30, 20-102,IND,@, BRK, W (+10), 0, 8:32,0,1, .000, 0,0,,0,0,, 1,0,1,1, 0, 1,0,1, 0
5, 2019-11-01, 20-104,IND,, CLE, W (+7), 0, 24:55,3,7, .429, 1,3,.333,3,4,.750, 4,6,10,0, 0, 4,3,3, 10
6, 2019-11-03, 20-106,IND,, CHI, W (+13), 1, 18:57,4,7, .571, 1,1,1.000,0,0,, 0,4,4,3, 0, 4,1,6, 9
7, 2019-11-05, 20-108,IND,@, CHO, L (-2), 1, 31:48,3,7, .429, 0,2,.000,0,0,, 4,7,11,4, 0, 4,3,6, 6
8, 2019-11-06, 20-109,IND,, WAS, W (+15), 0, 20:01,3,6, .500, 1,2,.500,6,8,.750, 2,1,3,1, 0, 0,1,3, 13
12, 2019-11-15, 20-118,IND,@, HOU, L (-9), 0, 18:20,2,3, .667, 0,0,,2,2,1.000, 0,3,3,1, 0, 1,0,2, 6
13, 2019-11-16, 20-119,IND,, MIL, L (-19), 0, 11:58,3,5, .600, 1,2,.500,0,0,, 0,1,1,0, 0, 0,1,0, 7
14, 2019-11-18, 20-121,IND,@, BRK, W (+29), 0, 16:05,2,5, .400, 0,1,.000,0,1,.000, 2,3,5,2, 1, 2,0,3, 4
15, 2019-11-23, 20-126,IND,, ORL, W (+5), 0, 14:52,3,4, .750, 0,0,,0,0,, 0,2,2,0, 0, 1,0,1, 6
16, 2019-11-25, 20-128,IND,, MEM, W (+12), 0, 7:24,1,3, .333, 0,0,,2,2,1.000, 1,0,1,0, 0, 1,0,2, 4
17, 2019-11-27, 20-130,IND,, UTA, W (+19), 0, 11:32,1,4, .250, 0,0,,1,2,.500, 2,2,4,2, 0, 0,0,0, 3
18, 2019-11-29, 20-132,IND,, ATL, W (+1), 0, 4:13,0,1, .000, 0,0,,0,0,, 0,2,2,0, 0, 0,0,1, 0
19, 2019-11-30, 20-133,IND,@, PHI, L (-3), 0, 5:21,0,1, .000, 0,1,.000,0,0,, 0,2,2,0, 0, 0,0,1, 0
20, 2019-12-02, 20-135,IND,@, MEM, W (+13), 0, 2:55,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,1,2, 0
22, 2019-12-06, 20-139,IND,@, DET, L (-7), 0, 5:33,0,1, .000, 0,1,.000,0,0,, 0,0,0,0, 0, 1,0,1, 0
23, 2019-12-07, 20-140,IND,@, NYK, W (+1), 0, 9:03,0,1, .000, 0,1,.000,0,0,, 0,2,2,0, 0, 0,0,0, 0
24, 2019-12-09, 20-142,IND,, LAC, L (-11), 0, 2:10,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
25, 2019-12-11, 20-144,IND,, BOS, W (+5), 0, 2:01,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
26, 2019-12-13, 20-146,IND,@, ATL, W (+10), 0, 0:59,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
27, 2019-12-15, 20-148,IND,, CHO, W (+22), 0, 7:58,1,1, 1.000, 0,0,,0,0,, 1,1,2,1, 0, 2,1,3, 2
29, 2019-12-20, 20-153,IND,, SAC, W (+14), 0, 6:05,2,2, 1.000, 0,0,,0,0,, 0,2,2,0, 0, 0,1,2, 4
30, 2019-12-22, 20-155,IND,@, MIL, L (-28), 0, 8:19,0,3, .000, 0,1,.000,0,0,, 0,2,2,0, 0, 1,1,2, 0
32, 2019-12-27, 20-160,IND,@, MIA, L (-1), 0, 4:10,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
33, 2019-12-28, 20-161,IND,@, NOP, L (-22), 0, 7:55,1,3, .333, 0,1,.000,1,2,.500, 1,3,4,0, 0, 1,0,0, 3
34, 2019-12-31, 20-164,IND,, PHI, W (+18), 0, 7:34,3,5, .600, 0,2,.000,0,0,, 0,3,3,0, 0, 1,0,0, 6
35, 2020-01-02, 20-166,IND,, DEN, L (-8), 0, 9:16,0,1, .000, 0,1,.000,1,2,.500, 1,1,2,0, 0, 0,0,1, 1
37, 2020-01-06, 20-170,IND,@, CHO, W (+11), 0, 2:41,1,2, .500, 0,0,,0,0,, 0,1,1,0, 0, 0,1,1, 2
38, 2020-01-08, 20-172,IND,, MIA, L (-14), 0, 2:40,0,0, , 0,0,,2,2,1.000, 0,1,1,0, 0, 0,0,0, 2
39, 2020-01-10, 20-174,IND,@, CHI, W (+11), 0, 14:34,2,4, .500, 0,1,.000,0,0,, 0,3,3,1, 1, 1,2,0, 4
40, 2020-01-13, 20-177,IND,, PHI, W (+6), 0, 4:14,1,2, .500, 0,1,.000,0,0,, 0,1,1,1, 0, 0,1,1, 2
41, 2020-01-15, 20-179,IND,@, MIN, W (+5), 0, 4:06,1,1, 1.000, 0,0,,0,0,, 1,1,2,0, 0, 0,0,0, 2
42, 2020-01-17, 20-181,IND,, MIN, W (+2), 0, 10:19,2,3, .667, 0,1,.000,1,2,.500, 0,1,1,0, 0, 0,0,1, 5
43, 2020-01-19, 20-183,IND,@, DEN, W (+8), 0, 5:56,2,4, .500, 0,1,.000,0,0,, 1,1,2,0, 0, 0,0,1, 4
44, 2020-01-20, 20-184,IND,@, UTA, L (-30), 0, 10:12,2,5, .400, 0,0,,1,2,.500, 0,1,1,0, 0, 0,0,0, 5
45, 2020-01-22, 20-186,IND,@, PHO, W (+25), 0, 3:35,0,0, , 0,0,,0,0,, 0,3,3,1, 0, 1,1,0, 0
47, 2020-01-26, 20-190,IND,@, POR, L (-10), 0, 5:07,0,0, , 0,0,,0,0,, 0,0,0,1, 0, 0,0,0, 0
48, 2020-01-29, 20-193,IND,, CHI, W (+9), 0, 15:07,5,9, .556, 0,1,.000,0,0,, 0,4,4,0, 0, 1,3,2, 10
49, 2020-02-01, 20-196,IND,, NYK, L (-7), 0, 3:31,1,3, .333, 0,0,,0,0,, 0,0,0,0, 0, 0,0,1, 2
51, 2020-02-05, 20-200,IND,@, TOR, L (-1), 0, 2:40,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,2, 0
52, 2020-02-07, 20-202,IND,, TOR, L (-9), 0, 2:18,1,2, .500, 0,1,.000,0,0,, 1,0,1,0, 1, 0,0,0, 2
53, 2020-02-08, 20-203,IND,, NOP, L (-7), 0, 2:09,1,1, 1.000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 2
57, 2020-02-23, 20-218,IND,@, TOR, L (-46), 0, 9:29,2,4, .500, 0,1,.000,0,0,, 0,1,1,1, 1, 2,0,0, 4
58, 2020-02-25, 20-220,IND,, CHO, W (+39), 0, 11:32,1,3, .333, 1,2,.500,2,2,1.000, 0,4,4,1, 1, 1,3,4, 5
59, 2020-02-27, 20-222,IND,, POR, W (+6), 0, 6:40,1,3, .333, 0,2,.000,0,0,, 0,1,1,0, 0, 1,0,1, 2
60, 2020-02-29, 20-224,IND,@, CLE, W (+9), 0, 3:38,0,1, .000, 0,1,.000,0,0,, 0,0,0,0, 0, 0,0,0, 0
62, 2020-03-04, 20-228,IND,@, MIL, L (-19), 0, 7:45,4,7, .571, 1,4,.250,0,0,, 0,1,1,0, 0, 0,0,0, 9
63, 2020-03-06, 20-230,IND,@, CHI, W (+6), 0, 7:16,1,3, .333, 0,1,.000,2,2,1.000, 0,1,1,0, 1, 1,1,1, 4
64, 2020-03-08, 20-232,IND,@, DAL, W (+3), 0, 1:56,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 0,0,1, 0
