G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
9, 2019-11-09, 23-232,MEM,, DAL, L (-16), 0, 6:47,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
34, 2019-12-29, 23-282,MEM,, CHO, W (+13), 0, 1:28,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 0,0,0, 0
47, 2020-01-28, 23-312,MEM,, DEN, W (+8), 0, 12:15,1,2, .500, 0,1,.000,0,0,, 0,0,0,0, 0, 0,0,1, 2
48, 2020-01-29, 23-313,MEM,@, NYK, W (+21), 0, 0:48,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
49, 2020-01-31, 23-315,MEM,@, NOP, L (-28), 0, 8:20,1,2, .500, 0,1,.000,0,0,, 0,1,1,2, 0, 0,0,0, 2
52, 2020-02-07, 23-322,MEM,@, PHI, L (-12), 0, 4:24,1,1, 1.000, 0,0,,1,1,1.000, 0,0,0,1, 0, 0,0,0, 3
57, 2020-02-24, 23-339,MEM,@, LAC, L (-27), 0, 17:50,4,4, 1.000, 0,0,,0,1,.000, 2,5,7,4, 0, 1,0,0, 8
58, 2020-02-26, 23-341,MEM,@, HOU, L (-28), 0, 17:21,2,4, .500, 0,1,.000,0,0,, 4,3,7,2, 3, 0,2,1, 4
59, 2020-02-28, 23-343,MEM,, SAC, L (-3), 0, 4:22,1,2, .500, 0,1,.000,0,0,, 0,1,1,0, 1, 0,0,0, 2
60, 2020-02-29, 23-344,MEM,, LAL, W (+17), 0, 12:25,2,2, 1.000, 1,1,1.000,0,0,, 3,0,3,2, 2, 1,0,1, 5
61, 2020-03-02, 23-346,MEM,@, ATL, W (+39), 0, 19:55,4,7, .571, 2,2,1.000,0,0,, 0,7,7,1, 0, 1,0,0, 10
62, 2020-03-04, 23-348,MEM,@, BRK, W (+39), 0, 22:28,2,3, .667, 1,2,.500,0,0,, 3,1,4,2, 1, 0,2,2, 5
63, 2020-03-06, 23-350,MEM,@, DAL, L (-25), 0, 16:23,3,4, .750, 0,0,,0,0,, 2,3,5,3, 0, 0,1,0, 6
64, 2020-03-07, 23-351,MEM,, ATL, W (+17), 0, 13:37,1,3, .333, 0,0,,0,0,, 4,6,10,2, 0, 0,1,1, 2
65, 2020-03-10, 23-354,MEM,, ORL, L (-5), 0, 8:47,1,1, 1.000, 0,0,,0,0,, 0,0,0,2, 0, 0,0,1, 2
