G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-12-26, 24-218,WAS,@, DET, L (-30), 0, 32:37,4,6, .667, 0,0,,1,1,1.000, 3,5,8,2, 0, 1,0,2, 9
2, 2019-12-28, 24-220,WAS,, NYK, L (-7), 1, 13:30,0,0, , 0,0,,2,2,1.000, 1,2,3,2, 0, 0,0,1, 2
3, 2019-12-30, 24-222,WAS,, MIA, W (+18), 1, 17:43,0,1, .000, 0,1,.000,0,0,, 3,2,5,0, 0, 0,2,1, 0
4, 2020-01-01, 24-224,WAS,, ORL, L (-21), 1, 12:03,1,1, 1.000, 0,0,,0,0,, 1,5,6,1, 0, 1,0,0, 2
5, 2020-01-03, 24-226,WAS,, POR, L (-19), 1, 16:10,4,6, .667, 0,0,,0,2,.000, 3,5,8,0, 1, 0,0,0, 8
6, 2020-01-04, 24-227,WAS,, DEN, W (+14), 1, 30:58,6,8, .750, 0,0,,0,0,, 2,6,8,1, 0, 3,0,3, 12
10, 2020-01-20, 24-243,WAS,, DET, W (+6), 0, 3:23,0,2, .000, 0,1,.000,0,0,, 0,2,2,0, 0, 0,1,1, 0
11, 2020-01-22, 24-245,WAS,@, MIA, L (-5), 0, 1:21,0,0, , 0,0,,0,0,, 0,1,1,0, 0, 0,0,0, 0
12, 2020-01-23, 24-246,WAS,@, CLE, W (+12), 0, 4:08,0,0, , 0,0,,0,0,, 1,0,1,0, 0, 0,0,3, 0
15, 2020-01-30, 24-253,WAS,, CHO, W (+14), 0, 2:36,1,1, 1.000, 0,0,,0,0,, 1,0,1,0, 0, 1,1,0, 2
21, 2020-02-12, 24-266,WAS,@, NYK, W (+18), 0, 0:16,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
