G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
5, 2019-11-01, 27-034,ORL,, MIL, L (-32), 0, 22:55,0,3, .000, 0,1,.000,1,4,.250, 2,3,5,0, 1, 0,0,1, 1
6, 2019-11-02, 27-035,ORL,, DEN, L (-4), 0, 4:03,0,0, , 0,0,,0,0,, 0,1,1,1, 0, 0,0,0, 0
8, 2019-11-06, 27-039,ORL,@, DAL, L (-1), 0, 14:31,1,2, .500, 0,0,,1,4,.250, 1,2,3,0, 0, 0,0,2, 3
9, 2019-11-08, 27-041,ORL,, MEM, W (+32), 0, 3:07,0,0, , 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
14, 2019-11-20, 27-053,ORL,@, TOR, L (-16), 0, 21:17,5,7, .714, 0,0,,2,3,.667, 0,4,4,0, 0, 0,0,3, 12
15, 2019-11-23, 27-056,ORL,@, IND, L (-5), 1, 26:34,2,4, .500, 0,0,,0,0,, 3,2,5,0, 0, 0,2,2, 4
16, 2019-11-25, 27-058,ORL,@, DET, L (-15), 1, 27:27,2,3, .667, 0,0,,2,4,.500, 4,2,6,0, 0, 0,0,5, 6
17, 2019-11-27, 27-060,ORL,@, CLE, W (+12), 1, 25:04,3,6, .500, 0,0,,2,2,1.000, 1,4,5,1, 1, 1,1,4, 8
18, 2019-11-29, 27-062,ORL,, TOR, L (-7), 1, 27:24,2,4, .500, 0,0,,0,0,, 1,11,12,0, 1, 3,2,6, 4
19, 2019-12-01, 27-064,ORL,, GSW, W (+4), 1, 30:27,2,5, .400, 0,0,,3,6,.500, 6,4,10,3, 2, 1,1,2, 7
20, 2019-12-03, 27-066,ORL,@, WAS, W (+7), 1, 28:26,0,1, .000, 0,0,,0,0,, 2,7,9,5, 0, 2,0,6, 0
21, 2019-12-04, 27-067,ORL,, PHO, W (+14), 1, 28:38,3,4, .750, 0,0,,1,2,.500, 4,5,9,2, 1, 0,1,2, 7
22, 2019-12-06, 27-069,ORL,@, CLE, W (+6), 1, 31:07,2,5, .400, 0,0,,1,1,1.000, 5,1,6,2, 1, 2,2,2, 5
23, 2019-12-09, 27-072,ORL,@, MIL, L (-9), 1, 27:54,1,3, .333, 0,0,,0,0,, 2,4,6,2, 1, 2,2,2, 2
24, 2019-12-11, 27-074,ORL,, LAL, L (-9), 1, 24:00,3,4, .750, 0,0,,0,0,, 0,4,4,1, 2, 0,0,3, 6
25, 2019-12-13, 27-076,ORL,, HOU, L (-23), 1, 31:53,2,6, .333, 0,0,,0,0,, 2,3,5,1, 0, 2,0,1, 4
