G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
8, 2019-11-08, 20-205,BRK,@, POR, W (+4), 0, 12:04,3,5, .600, 0,0,,2,5,.400, 5,1,6,1, 0, 0,0,2, 8
9, 2019-11-10, 20-207,BRK,@, PHO, L (-26), 0, 12:00,2,2, 1.000, 0,0,,0,0,, 1,1,2,2, 0, 0,0,1, 4
10, 2019-11-12, 20-209,BRK,@, UTA, L (-5), 0, 11:47,0,2, .000, 0,1,.000,0,0,, 0,2,2,1, 1, 0,0,1, 0
11, 2019-11-14, 20-211,BRK,@, DEN, L (-8), 0, 16:34,1,3, .333, 0,2,.000,0,0,, 0,3,3,0, 0, 0,0,0, 2
12, 2019-11-16, 20-213,BRK,@, CHI, W (+6), 0, 17:26,4,6, .667, 0,2,.000,0,1,.000, 0,2,2,2, 0, 0,0,1, 8
13, 2019-11-18, 20-215,BRK,, IND, L (-29), 0, 14:42,0,1, .000, 0,0,,1,2,.500, 0,1,1,1, 0, 1,0,0, 1
15, 2019-11-22, 20-219,BRK,, SAC, W (+19), 0, 3:20,0,0, , 0,0,,2,2,1.000, 0,2,2,0, 0, 0,3,2, 2
17, 2019-11-25, 20-222,BRK,@, CLE, W (+2), 0, 12:31,1,2, .500, 0,0,,0,0,, 1,1,2,3, 0, 3,1,1, 2
18, 2019-11-27, 20-224,BRK,@, BOS, L (-11), 0, 18:20,0,0, , 0,0,,0,2,.000, 1,1,2,1, 0, 1,2,2, 0
35, 2020-01-06, 20-264,BRK,@, ORL, L (-12), 0, 1:31,0,1, .000, 0,0,,0,0,, 0,0,0,0, 0, 0,0,0, 0
41, 2020-01-18, 20-276,BRK,, MIL, L (-20), 0, 19:01,7,12, .583, 0,0,,0,0,, 4,2,6,1, 0, 3,1,0, 14
42, 2020-01-20, 20-278,BRK,, PHI, L (-6), 0, 17:06,6,8, .750, 1,2,.500,2,3,.667, 4,0,4,2, 0, 0,0,2, 15
44, 2020-01-25, 20-283,BRK,@, DET, W (+10), 0, 13:04,1,3, .333, 0,0,,0,0,, 1,5,6,0, 0, 0,2,2, 2
45, 2020-01-26, 20-284,BRK,@, NYK, L (-13), 0, 13:46,1,1, 1.000, 0,0,,2,4,.500, 2,3,5,2, 0, 0,0,0, 4
58, 2020-02-28, 20-317,BRK,@, ATL, L (-23), 0, 3:39,1,2, .500, 0,0,,2,2,1.000, 0,1,1,0, 0, 0,0,0, 4
