G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 26-142,CHI,@, CHO, L (-1), 1, 27:43,3,10, .300, 1,5,.200,2,2,1.000, 0,2,2,1, 2, 1,0,2, 9
2, 2019-10-25, 26-144,CHI,@, MEM, W (+8), 1, 21:09,1,6, .167, 1,4,.250,1,1,1.000, 1,2,3,0, 1, 0,1,2, 4
3, 2019-10-26, 26-145,CHI,, TOR, L (-24), 1, 20:20,2,7, .286, 1,4,.250,4,5,.800, 1,3,4,1, 1, 0,1,3, 9
4, 2019-10-28, 26-147,CHI,@, NYK, L (-7), 1, 31:51,3,11, .273, 1,6,.167,0,0,, 2,1,3,0, 0, 0,0,2, 7
5, 2019-10-30, 26-149,CHI,@, CLE, L (-6), 1, 27:29,5,10, .500, 1,2,.500,4,5,.800, 2,3,5,3, 0, 0,0,2, 15
6, 2019-11-01, 26-151,CHI,, DET, W (+6), 1, 31:07,8,12, .667, 3,4,.750,3,5,.600, 2,4,6,4, 1, 0,2,2, 22
7, 2019-11-03, 26-153,CHI,@, IND, L (-13), 1, 27:03,1,10, .100, 1,4,.250,1,2,.500, 0,3,3,3, 1, 1,2,3, 4
8, 2019-11-05, 26-155,CHI,, LAL, L (-6), 1, 27:15,7,12, .583, 4,7,.571,0,0,, 0,1,1,0, 1, 0,1,3, 18
9, 2019-11-06, 26-156,CHI,@, ATL, W (+20), 1, 11:49,5,6, .833, 3,4,.750,0,0,, 0,4,4,2, 2, 1,0,1, 13
61, 2020-03-02, 26-273,CHI,, DAL, W (+2), 0, 17:15,7,11, .636, 3,5,.600,1,2,.500, 0,1,1,3, 0, 1,0,2, 18
62, 2020-03-04, 26-275,CHI,@, MIN, L (-7), 0, 18:17,1,8, .125, 0,3,.000,0,0,, 1,3,4,3, 0, 1,1,0, 2
63, 2020-03-06, 26-277,CHI,, IND, L (-6), 0, 18:37,4,9, .444, 0,1,.000,0,0,, 3,2,5,1, 0, 1,1,4, 8
64, 2020-03-08, 26-279,CHI,@, BRK, L (-3), 0, 25:27,9,17, .529, 3,8,.375,2,4,.500, 0,3,3,2, 4, 0,1,3, 23
65, 2020-03-10, 26-281,CHI,, CLE, W (+5), 0, 25:26,6,11, .545, 2,5,.400,1,1,1.000, 1,3,4,2, 2, 0,1,2, 15
