G,DATE,AGE,TEAM,WHERE,OP,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1, 2019-10-23, 28-101,MIN,@, BRK, W (+1), 0, 20:59,1,7, .143, 0,6,.000,3,5,.600, 0,1,1,7, 0, 0,1,1, 5
2, 2019-10-25, 28-103,MIN,@, CHO, W (+22), 0, 20:50,1,6, .167, 1,5,.200,2,2,1.000, 1,5,6,9, 1, 2,2,1, 5
3, 2019-10-27, 28-105,MIN,, MIA, W (+7), 0, 19:35,2,5, .400, 2,4,.500,6,6,1.000, 0,3,3,2, 2, 0,4,0, 12
4, 2019-10-30, 28-108,MIN,@, PHI, L (-22), 0, 24:48,4,9, .444, 2,6,.333,3,3,1.000, 0,0,0,1, 2, 0,3,1, 13
5, 2019-11-02, 28-111,MIN,@, WAS, W (+22), 0, 22:11,1,4, .250, 0,2,.000,0,0,, 0,2,2,4, 0, 1,0,0, 2
6, 2019-11-04, 28-113,MIN,, MIL, L (-28), 0, 24:36,4,12, .333, 2,8,.250,0,0,, 0,3,3,4, 4, 0,2,1, 10
19, 2019-12-01, 28-140,MIN,, MEM, L (-8), 0, 8:52,1,1, 1.000, 1,1,1.000,1,2,.500, 0,1,1,0, 1, 0,1,2, 4
20, 2019-12-04, 28-143,MIN,@, DAL, L (-7), 0, 10:40,0,3, .000, 0,2,.000,2,2,1.000, 0,2,2,1, 0, 0,0,0, 2
21, 2019-12-06, 28-145,MIN,@, OKC, L (-12), 0, 14:20,5,9, .556, 1,3,.333,2,2,1.000, 0,2,2,0, 0, 0,1,2, 13
22, 2019-12-08, 28-147,MIN,@, LAL, L (-17), 0, 15:04,5,9, .556, 1,4,.250,2,2,1.000, 0,2,2,6, 1, 0,1,1, 13
23, 2019-12-09, 28-148,MIN,@, PHO, L (-16), 0, 16:31,3,5, .600, 1,3,.333,0,0,, 0,1,1,2, 1, 0,5,2, 7
24, 2019-12-11, 28-150,MIN,, UTA, L (-11), 0, 12:42,0,2, .000, 0,1,.000,0,0,, 0,0,0,1, 1, 0,0,1, 0
25, 2019-12-13, 28-152,MIN,, LAC, L (-7), 0, 14:27,0,3, .000, 0,3,.000,0,0,, 0,1,1,3, 1, 0,2,3, 0
26, 2019-12-18, 28-157,MIN,, NOP, L (-8), 0, 20:32,4,10, .400, 0,5,.000,2,3,.667, 0,2,2,6, 0, 1,0,0, 10
27, 2019-12-20, 28-159,MIN,@, DEN, L (-9), 1, 20:06,1,6, .167, 1,4,.250,1,2,.500, 2,2,4,5, 1, 0,1,0, 4
28, 2019-12-21, 28-160,MIN,@, POR, L (-7), 1, 29:34,7,15, .467, 4,10,.400,0,0,, 0,4,4,4, 3, 0,3,3, 18
30, 2019-12-26, 28-165,MIN,@, SAC, W (+1), 1, 21:40,1,7, .143, 0,6,.000,0,0,, 0,3,3,9, 2, 0,2,1, 2
31, 2019-12-28, 28-167,MIN,, CLE, L (-6), 1, 22:32,3,17, .176, 1,6,.167,2,2,1.000, 1,1,2,3, 1, 0,4,2, 9
32, 2019-12-30, 28-169,MIN,, BRK, W (+7), 1, 34:20,8,18, .444, 3,6,.500,5,7,.714, 0,3,3,8, 2, 0,4,1, 24
